project_id,month,true_reduction_tCO2,reported_reduction_tCO2,issued_credits,buffer_credits,retired_credits,overcrediting_tCO2,delivery_risk_flag,price_usd,gross_revenue_usd
P0001,2020-01-01,55.071,75.411,67.817,7.594,40.076,20.34,0,6.15,246.47
P0001,2020-02-01,55.949,69.096,62.138,6.958,28.342,13.147,0,6.46,183.09
P0001,2020-03-01,56.817,71.443,64.249,7.194,29.863,14.626,0,5.75,171.71
P0001,2020-04-01,57.665,77.179,69.407,7.772,4.698,19.514,0,5.61,26.36
P0001,2020-05-01,58.484,76.449,68.751,7.698,38.531,17.965,0,5.01,193.04
P0001,2020-06-01,59.264,76.015,68.361,7.655,24.477,16.751,0,6.84,167.42
P0001,2020-07-01,59.997,71.207,64.036,7.171,12.42,11.209,0,6.32,78.49
P0001,2020-08-01,60.674,68.129,61.268,6.861,23.886,7.455,0,8.04,192.04
P0001,2020-09-01,61.288,77.367,69.576,7.791,35.195,16.08,0,5.94,209.06
P0001,2020-10-01,61.831,72.561,65.255,7.307,10.762,10.731,0,7.19,77.38
P0001,2020-11-01,62.297,81.452,73.249,8.202,35.035,19.155,0,7.07,247.7
P0001,2020-12-01,62.681,78.093,70.229,7.864,22.101,15.412,0,6.49,143.44
P0001,2021-01-01,62.98,72.441,65.146,7.295,18.65,9.461,0,6.28,117.12
P0001,2021-02-01,63.188,79.082,71.118,7.964,21.564,15.893,0,6.45,139.09
P0001,2021-03-01,63.305,82.022,73.763,8.26,18.859,18.717,0,6.23,117.49
P0001,2021-04-01,63.329,78.686,70.762,7.924,26.629,15.357,0,6.78,180.54
P0001,2021-05-01,63.258,72.525,65.222,7.303,24.919,9.267,0,6.44,160.48
P0001,2021-06-01,63.095,78.931,70.983,7.948,33.709,15.836,0,7.22,243.38
P0001,2021-07-01,62.842,79.209,71.232,7.976,36.822,16.367,0,6.7,246.71
P0001,2021-08-01,62.5,81.698,73.471,8.227,23.136,19.199,0,6.75,156.17
P0001,2021-09-01,62.074,80.507,72.4,8.107,34.67,18.433,0,7.94,275.28
P0001,2021-10-01,61.568,69.814,62.783,7.03,13.576,8.245,0,6.63,90.01
P0001,2021-11-01,60.989,71.661,64.444,7.216,27.527,10.671,0,6.18,170.12
P0001,2021-12-01,60.343,77.56,69.75,7.81,15.608,17.217,0,7.39,115.34
P0001,2022-01-01,59.637,62.916,56.581,6.336,16.206,3.279,0,6.3,102.1
P0001,2022-02-01,58.88,76.689,68.967,7.723,29.181,17.81,0,7.43,216.81
P0001,2022-03-01,58.079,66.257,59.585,6.672,15.837,8.178,0,7.91,125.27
P0001,2022-04-01,57.244,67.695,60.879,6.817,24.932,10.451,0,7.41,184.75
P0001,2022-05-01,56.385,77.196,69.422,7.774,12.614,20.811,0,7.43,93.72
P0001,2022-06-01,55.51,67.629,60.818,6.81,16.353,12.118,0,6.24,102.04
P0001,2022-07-01,54.631,65.26,58.689,6.572,24.308,10.629,0,7.86,191.06
P0001,2022-08-01,53.757,67.352,60.569,6.782,31.927,13.595,0,7.81,249.35
P0001,2022-09-01,52.897,64.289,57.815,6.474,12.521,11.392,0,6.92,86.65
P0001,2022-10-01,52.063,60.505,54.412,6.093,29.139,8.442,0,8.83,257.3
P0001,2022-11-01,51.262,64.064,57.613,6.451,22.019,12.802,0,6.99,153.91
P0001,2022-12-01,50.504,72.647,65.332,7.316,40.203,22.143,0,6.77,272.17
P0001,2023-01-01,49.799,65.57,58.967,6.603,18.632,15.772,0,6.74,125.58
P0001,2023-02-01,49.152,62.352,56.073,6.279,16.389,13.199,0,7.9,129.47
P0001,2023-03-01,48.573,60.74,54.624,6.117,21.254,12.167,0,8.13,172.8
P0001,2023-04-01,48.068,62.706,56.392,6.315,12.7,14.638,0,8.25,104.78
P0001,2023-05-01,47.642,61.323,55.148,6.175,20.175,13.681,0,7.83,157.97
P0001,2023-06-01,47.3,53.878,48.453,5.426,16.652,6.578,1,7.6,126.56
P0001,2023-07-01,47.046,60.005,53.963,6.043,27.278,12.959,0,8.64,235.68
P0001,2023-08-01,46.883,57.665,51.858,5.807,20.272,10.782,0,7.65,155.08
P0001,2023-09-01,46.813,65.367,58.784,6.582,12.044,18.554,0,7.51,90.45
P0001,2023-10-01,46.837,56.374,50.698,5.677,10.049,9.538,0,9.13,91.75
P0001,2023-11-01,46.953,63.383,57.001,6.383,13.638,16.43,0,8.45,115.24
P0001,2023-12-01,47.162,52.311,47.043,5.268,5.202,5.149,0,8.67,45.1
