,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis,missing,missing_pct
area_ha,150.0,3598.2533333333336,3957.457487105902,78.76,492.7675,2554.61,5329.33,17633.37,15661469.762250561,1.4257380043667327,1.5487090537771362,0,0.0
baseline_tCO2,150.0,13426.320666666667,14822.787415484485,938.35,3735.6325,8923.619999999999,17371.052499999998,101681.1,219715026.76464522,2.6217833983297902,9.652776237748881,0,0.0
additionality_score,150.0,0.5514886666666666,0.22373922306517383,0.0316,0.3933,0.56685,0.73545,0.9531,0.05005923993780761,-0.365448726063087,-0.5571424110453185,0,0.0
mrv_quality,150.0,0.5904233333333334,0.22674162347111676,0.0214,0.415275,0.6324000000000001,0.767825,0.9664,0.05141176381431768,-0.4843824537165586,-0.6666537051773722,0,0.0
leakage_rate,150.0,0.12749999999999995,0.07742181941032752,0.0,0.07187500000000001,0.1271,0.17535,0.3414,0.005994138120805369,0.26062308448417404,-0.25480340552434333,0,0.0
permanence_risk,150.0,0.400106,0.2121697146534052,0.0091,0.24845,0.36835,0.558775,0.9799,0.04501598781610738,0.2657240784581972,-0.6040106112542851,0,0.0
verification_frequency_months,150.0,10.16,5.152805973057122,6.0,6.0,12.0,12.0,24.0,26.551409395973156,1.4758445062434464,1.8870610512126333,0,0.0
buffer_contribution_rate,150.0,0.16277066666666667,0.054136151434785444,0.0695,0.1218,0.1538,0.201825,0.3169,0.002930722892170022,0.31228205149322874,-0.5849177307620756,0,0.0
true_reduction_tCO2,150.0,5531.809533333333,6171.400524113413,318.95,1806.3575,3499.8,7015.0825,47406.03,38086184.429027304,3.1264594881420695,15.330208541052748,0,0.0
true_total,150.0,27659.047740000005,30857.002785849658,1594.752,9031.789,17499.0,35075.41475,237030.149,952154620.9259336,3.1264594207534846,15.330207919983895,0,0.0
reported_total,150.0,35027.23746,38603.949332647855,1975.701,11067.600999999999,21511.014,45996.7475,284431.261,1490264904.077643,2.8252757716790757,12.301288603155562,0,0.0
issued_total,150.0,29090.2878,31874.42538552418,1679.544,9245.611499999999,17458.2405,36622.2325,230303.99,1015978993.6573483,2.7152079253012,11.150891340214375,0,0.0
retired_total,150.0,10158.019586666665,11107.383345412429,593.43,3294.483,6271.826,12759.7125,82245.361,123373964.78194538,2.792724452465842,12.1681297291385,0,0.0
buffer_total,150.0,5936.949166666665,7318.753241909259,258.122,1442.5092499999998,3736.165,8093.245,54127.264,53564149.01595728,3.311789987005148,15.763888711303068,0,0.0
over_total,150.0,7394.4064733333325,8783.886718963917,214.873,1859.4904999999999,4626.0375,9409.553,51709.959,77156665.89159068,2.621661944748578,8.384079187564414,0,0.0
risk_events,150.0,1.5733333333333333,1.1777960686886098,0.0,1.0,1.0,2.0,5.0,1.3872035794183444,0.7586212281337039,0.47611108832842186,0,0.0
over_rate,150.0,0.2045491070014792,0.060556279543437445,0.0810420702307028,0.15790537473229838,0.19728369284008274,0.2422017724438012,0.3711742598935693,0.0036670629921429407,0.34303667979476077,-0.3271503522922101,0,0.0
retire_rate,150.0,0.3504032129217064,0.017569575837808996,0.3054863995023366,0.33998793289086243,0.3497066454662563,0.36070134993929337,0.4071329604484843,0.00030868999512052164,0.14055194495969714,0.27760315746280684,0,0.0
integrity_risk_score,150.0,0.3892085333333334,0.12962526581949235,0.110085,0.29421624999999996,0.3740225,0.45556874999999997,0.7326,0.016802709538774052,0.5557816348586065,-0.023695744380351602,0,0.0
