project_id,country,type,start_date,end_date,area_ha,baseline_tCO2,additionality_score,mrv_quality,leakage_rate,permanence_risk,verification_frequency_months,buffer_contribution_rate,true_reduction_tCO2,true_total,reported_total,issued_total,retired_total,buffer_total,over_total,risk_events,over_rate,retire_rate,integrity_risk_score
P0085,Colombia,REDD+,2020-01-01,2025-01-01,4035.5,15115.07,0.0316,0.1794,0.1705,0.5209,6,0.1973,2915.61,14578.051,21338.733,17128.604,6104.872,4210.133,6760.684,1,0.3168268706487869,0.3564138677034042,0.7326
P0140,Brasil,REDD+,2020-01-01,2025-01-01,2927.76,45593.08,0.1672,0.211,0.2376,0.6366,6,0.2329,9995.6,49977.998,71962.912,55202.748,18204.015,16760.16,21984.914,1,0.3055033959715249,0.3297664637999543,0.71433
P0084,Peru,REDD+,2020-01-01,2025-01-01,8252.71,47319.05,0.079,0.0214,0.0328,0.182,12,0.0988,12820.3,64101.493,101938.413,91866.9,32372.47,10071.514,37836.915,0,0.3711742598935693,0.35238448233259206,0.7102999999999999
P0125,Brasil,REDD+,2020-01-01,2025-01-01,6300.18,24420.45,0.0944,0.1326,0.2295,0.3085,6,0.1501,5242.68,26213.4,38844.805,33014.195,11322.259,5830.603,12631.404,1,0.32517614646282816,0.3429512365817189,0.70138
P0071,Brasil,REDD+,2020-01-01,2025-01-01,4618.88,57911.41,0.0961,0.2399,0.2068,0.3958,12,0.1696,12534.66,62673.3,93556.971,77689.707,26916.277,15867.262999999999,30883.67,2,0.3301054926201063,0.3464587271515904,0.66786
P0082,Indonesia,ARR,2020-01-01,2025-01-01,13855.12,11013.43,0.0701,0.3595,0.0836,0.6863,6,0.2299,2412.75,12063.749,16781.887,12923.73,4722.284,3858.157,4718.141,2,0.2811448438426501,0.36539636776689083,0.6663200000000001
P0032,Brasil,Renewables,2020-01-01,2025-01-01,355.77,2826.28,0.377,0.0438,0.0012,0.3373,6,0.1344,1182.3,5911.5,8695.77,7527.064,2837.327,1168.7069999999999,2784.273,1,0.32018705646538487,0.376950029918704,0.65362
P0034,Kenya,ARR,2020-01-01,2025-01-01,13866.33,5892.95,0.5644,0.1661,0.0585,0.7398,6,0.2408,2534.14,12670.699,17288.483,13125.413,4494.039,4163.065,4617.783,3,0.2671016884477372,0.3423921974874238,0.637965
P0112,Peru,REDD+,2020-01-01,2025-01-01,12170.1,57905.18,0.2342,0.1457,0.0955,0.2157,24,0.1135,18771.11,93855.555,145565.507,129043.824,41755.483,16521.688,51709.959,2,0.3552349733512074,0.32357598919263275,0.6285749999999999
P0079,Brasil,Cookstoves,2020-01-01,2025-01-01,319.88,1990.97,0.0682,0.268,0.1687,0.1965,12,0.116,452.45,2262.25,3394.044,3000.334,1013.457,393.711,1131.791,1,0.3334638560961496,0.3377813936715046,0.6185200000000001
P0118,Colombia,Cookstoves,2020-01-01,2025-01-01,233.78,1626.84,0.376,0.091,0.0805,0.1862,6,0.1046,651.45,3257.251,4644.659,4158.827,1415.551,485.82800000000003,1387.403,1,0.29870933474341177,0.34037265796341126,0.6103400000000001
P0092,Peru,Cookstoves,2020-01-01,2025-01-01,502.57,2151.18,0.3085,0.1701,0.0,0.313,12,0.1282,832.12,4160.601,6112.108,5328.535,1848.579,783.574,1951.507,1,0.31928542493031864,0.3469206827017182,0.60893
P0004,Indonesia,Cookstoves,2020-01-01,2025-01-01,734.92,1614.12,0.1526,0.3905,0.0455,0.5024,12,0.1801,449.83,2249.147,3254.859,2668.6620000000003,955.4350000000001,586.2,1005.712,1,0.3089878854967297,0.358020236358145,0.591155
P0017,Kenya,Cookstoves,2020-01-01,2025-01-01,231.39,1946.83,0.5025,0.3379,0.2065,0.7089,6,0.2479,669.07,3345.352,4431.343,3332.815,1221.877,1098.531,1085.99,3,0.2450701739856292,0.3666201094270159,0.5847500000000001
P0041,Mexico,ARR,2020-01-01,2025-01-01,2153.96,16130.88,0.1566,0.3731,0.2949,0.2977,6,0.1539,3538.53,17692.651,24479.647,20712.222,7761.902,3767.42,6786.996,1,0.27725056656249986,0.3747498457673928,0.5819850000000001
P0087,Colombia,Cookstoves,2020-01-01,2025-01-01,451.3,15401.32,0.3309,0.2904,0.1301,0.4077,12,0.1649,5197.66,25988.298,37082.813,30967.858,10912.733,6114.9529999999995,11094.514,1,0.2991821035798983,0.3523890157336681,0.581145
P0059,Colombia,REDD+,2020-01-01,2025-01-01,2521.36,46572.71,0.487,0.2125,0.0,0.4711,6,0.1678,21277.82,106389.099,148620.344,123681.853,41006.16,24938.493,42231.244,3,0.2841552028704764,0.33154548549656676,0.5768449999999999
P0131,Colombia,REDD+,2020-01-01,2025-01-01,11915.19,17426.05,0.6086,0.3222,0.2988,0.7067,12,0.2565,5883.17,29415.849000000002,39835.626000000004,29617.785,9766.872,10217.839,10419.774,2,0.2615692295133004,0.3297637551221335,0.57408
P0088,Kenya,ARR,2020-01-01,2025-01-01,4021.16,6294.87,0.4144,0.3168,0.0,0.5742,12,0.1936,2576.61,12883.051,18262.28,14726.701,5624.816,3535.576,5379.225,1,0.2945538563640466,0.38194677816844386,0.5686800000000001
P0136,Colombia,REDD+,2020-01-01,2025-01-01,9330.86,31330.76,0.3697,0.2645,0.1209,0.3229,6,0.1428,11477.05,57385.251,79240.213,67924.709,24929.207,11315.5,21854.958,1,0.2758064014795114,0.36701234892298173,0.5652200000000001
